symbol,date removed
AAL,9/23/2024
AAP,8/25/2023
ABK,6/10/2008
ABMD,12/22/2022
ACAS,3/3/2009
ADS,6/22/2020
ADT,5/3/2016
AET,12/3/2018
AGN,3/23/2015
AGN,5/12/2020
AIV,12/21/2020
AKS,12/16/2011
ALK,12/18/2023
ALTR,12/29/2015
ALXN,7/21/2021
AMD,9/20/2013
AMG,12/23/2019
AMTM,12/23/2024
AN,8/8/2017
ANDV,10/1/2018
ANF,12/23/2013
ANR,10/2/2012
APC,8/9/2019
APOL,6/28/2013
ARG,5/23/2016
ATI,7/2/2015
ATVI,10/18/2023
AV,10/25/2007
AVP,3/23/2015
AYE,2/25/2011
AYI,6/18/2018
BBBY,7/26/2017
BBWI,10/1/2024
BCR,1/3/2018
BEAM,5/1/2014
BHF,4/2/2019
BIG,2/15/2013
BIO,9/23/2024
BJS,4/29/2010
BMC,9/10/2013
BMS,12/5/2014
BRCM,2/1/2016
BS,12/5/2000
BTU,9/20/2014
BXLT,6/3/2016
CA,11/6/2018
CAM,4/4/2016
CB,1/19/2016
CBE,12/3/2012
CBE,9/28/2009
CCE,5/31/2016
CCK,12/5/2000
CEG,3/13/2012
CELG,11/21/2019
CEPH,10/14/2011
CERN,6/8/2022
CFN,3/18/2015
CHK,3/19/2018
CLF,4/2/2014
CMA,6/24/2024
CMCSK,12/15/2015
CNX,3/4/2016
COL,12/3/2018
COTY,9/21/2020
COV,1/27/2015
CPGX,7/5/2016
CPRI,5/12/2020
CPWR,12/31/2011
CSC,12/1/2015
CSRA,4/4/2018
CTLT,12/23/2024
CTXS,10/3/2022
CVC,6/22/2016
CVH,5/8/2013
CXO,1/21/2021
DD,9/1/2017
DELL,10/29/2013
DF,5/23/2013
DISH,6/20/2023
DJ,12/13/2007
DNB,4/5/2017
DNR,3/23/2015
DO,9/30/2016
DPS,7/2/2018
DRE,10/3/2022
DTV,7/29/2015
DV,10/1/2012
DXC,10/3/2023
EK,12/17/2010
EMC,9/8/2016
ENDP,3/2/2017
EP,5/17/2012
EQT,11/13/2018
ESRX,12/24/2018
ESV,3/30/2016
ETFC,10/7/2020
ETSY,9/23/2024
EVHC,10/11/2018
FBHS,12/19/2022
FDO,7/8/2015
FHN,6/21/2013
FII,12/31/2012
FL,8/9/2019
FLIR,5/14/2021
FLR,6/3/2019
FLS,3/22/2021
FOSL,1/5/2016
FRC,5/4/2023
FRX,7/1/2014
FSLR,3/20/2017
FTI,2/12/2021
FTR,3/20/2017
GAS,7/1/2016
GAS,12/12/2011
GENZ,4/1/2011
GGP,8/28/2018
GHC,9/20/2014
GLK,7/1/2005
GMCR,3/7/2016
GME,4/25/2016
GNW,11/18/2015
GPS,2/3/2022
GR,7/31/2012
GRA,12/5/2000
GT,2/27/2019
HAR,3/16/2017
HBI,12/20/2021
HCBK,11/2/2015
HFC,6/4/2021
HNZ,6/6/2013
HOG,6/22/2020
HOT,9/22/2016
HP,5/22/2020
HRB,9/21/2020
HSP,9/2/2015
IGT,6/20/2014
ILMN,6/24/2024
INFO,3/2/2022
IPGP,6/21/2022
ITT,10/31/2011
JBL,11/5/2014
JCI,9/6/2016
JCP,12/2/2013
JDSU,12/23/2013
JEF,9/26/2019
JNS,11/18/2011
JNY,3/3/2009
JOY,10/7/2015
JWN,6/22/2020
KG,12/17/2010
KRFT,7/6/2015
KSE,8/24/2007
KSS,9/21/2020
KSU,12/14/2021
LEG,12/20/2021
LIFE,1/24/2014
LLL,7/1/2019
LLTC,3/13/2017
LM,12/2/2016
LNC,9/18/2023
LO,6/11/2015
LSI,5/8/2014
LUMN,3/20/2023
LVLT,10/13/2017
LXK,10/1/2012
M,4/6/2020
MAC,12/23/2019
MAT,6/7/2019
MEE,6/1/2011
MFE,2/28/2011
MHS,4/3/2012
MI,7/5/2011
MIL,7/14/2010
MJN,6/19/2017
MMI,5/21/2012
MNK,7/26/2017
MOLX,12/10/2013
MON,6/7/2018
MRO,11/26/2024
MUR,7/26/2017
MWW,12/16/2011
MXIM,8/30/2021
NAVI,6/5/2018
NBL,10/12/2020
NBR,3/23/2015
NE,7/20/2015
NFX,2/15/2019
NKTR,10/3/2019
NLSN,10/12/2022
NOV ,9/20/2021
NOVL,4/27/2011
NSM,9/23/2011
NVLS,6/5/2012
NWL,9/18/2023
NYT,12/17/2010
NYX,11/13/2013
ODP,12/17/2010
OGN,10/18/2023
OI,12/2/2016
OI,12/5/2000
PBCT,4/4/2022
PBI,3/1/2017
PCG,1/18/2019
PCL,2/22/2016
PCP,2/1/2016
PCS,4/30/2013
PDCO,3/19/2018
PENN,9/19/2022
PETM,3/12/2015
PGN,7/2/2012
PLL,8/28/2015
POM,3/30/2016
PRGO,9/20/2021
PVH,9/19/2022
PXD,5/8/2024
Q,3/31/2011
QEP,7/1/2015
QRVO,12/23/2024
QTRN,9/25/2003
R,6/19/2017
RAI,7/26/2017
RDC,8/18/2014
RHI,6/24/2024
RHT,7/15/2019
RIG,7/26/2017
RRC,6/18/2018
RRD,12/11/2012
RSH,6/30/2011
RTN,4/6/2020
RX,2/26/2010
S,7/8/2013
SAI,9/20/2013
SBL,1/10/2007
SBNY,3/15/2023
SCG,1/2/2019
SE,2/28/2017
SEDG,12/18/2023
SEE,12/18/2023
SGP,11/3/2009
SHLD,9/5/2012
SIAL,11/19/2015
SIG,3/19/2018
SII,8/26/2010
SIVB,3/15/2023
SLE,6/29/2012
SLG,3/22/2021
SLM,5/1/2014
SNDK,5/13/2016
SNI,3/7/2018
SPLS,9/18/2017
SRCL,12/3/2018
STI,12/9/2019
STJ,1/5/2017
STR,6/30/2010
SUN,10/10/2012
SVU,4/23/2012
SWN,4/4/2017
SWY,1/27/2015
TDC,6/19/2017
TE,7/1/2016
TEG,7/1/2015
TER,12/23/2013
TGNA,6/2/2017
THC,4/18/2016
TIE,12/21/2012
TIF,1/7/2021
TLAB,12/20/2011
TRB,12/20/2007
TRIP,12/23/2019
TSG,3/30/2007
TSS,9/23/2019
TWC,5/18/2016
TWTR,11/1/2022
TWX,6/20/2018
UA/UAA,6/21/2022
UNM,9/20/2021
URBN,3/20/2017
VAR,4/20/2021
VFC,4/3/2024
VIAB,12/5/2019
VNO,1/5/2023
VNT,3/22/2021
WCG,1/28/2020
WFM,8/29/2017
WFR,12/16/2011
WHR,3/18/2024
WIN,4/7/2015
WPX,3/21/2014
WU,12/20/2021
WYN,5/31/2018
X,7/2/2014
XEC,3/3/2020
XL,9/14/2018
XLNX,2/15/2022
XRAY,4/3/2024
XRX,3/22/2021
XTO,6/28/2010
YHOO,6/19/2017
ZION,3/18/2024
